doc_type,year,month,meetup_number,title,slug,source_path,archive_path,sha256
transcript,2024,12-december,24,Vancouver AI Community Meetup #24 - December 2024 Transcript,vancouver-ai-meetup-24-transcript,2024/12-december/vancouver-ai-meetup-24-transcript.md,transcripts/2024/12-december/vancouver-ai-meetup-24-transcript.md,654edb7c430b3a1740a797072fc74b9212d8fa33947dc5b5604548edcfd65653
transcript,2025,01-january,13,Vancouver AI Community Meetup #13 - Verbatim Transcript,vancouver-ai-meetup-13-transcript,2025/01-january/vancouver-ai-meetup-13-transcript.md,transcripts/2025/01-january/vancouver-ai-meetup-13-transcript.md,3acffc38976e78c6f8835988b9a5340e283be62c84e95aaf83ad2df2b07743da
transcript,2025,05-may,17,Vancouver AI Community Meetup #17 - Transcript,vancouver-ai-meetup-17-transcript,2025/05-may/vancouver-ai-meetup-17-transcript.md,transcripts/2025/05-may/vancouver-ai-meetup-17-transcript.md,172671eeb89731d10d9cbe552bdc86e89c8a0960965764eadaa4b8378bf86721
transcript,2025,07-july,19,Vancouver AI Community Meetup #19 - Transcript,vancouver-ai-meetup-19-transcript,2025/07-july/vancouver-ai-meetup-19-transcript.md,transcripts/2025/07-july/vancouver-ai-meetup-19-transcript.md,a9edb04e2a244e3271f783b5daddb6b5e26360feed6aaea43aa782e9bf09793e
transcript,2025,08-august,20,Vancouver AI Meetup #20 - Peter Bittner Keynote: The Future of Work,vancouver-ai-meetup-20-peter-bittner-keynote-transcript,2025/08-august/vancouver-ai-meetup-20-peter-bittner-keynote-transcript.md,transcripts/2025/08-august/vancouver-ai-meetup-20-peter-bittner-keynote-transcript.md,c882b2135e2779c46c901c5824406b2b7fc68000a8e8b67bf7cee5210d3127cc
transcript,2025,08-august,20,Vancouver AI Community Meetup #20 - Verbatim Transcript,vancouver-ai-meetup-20-transcript,2025/08-august/vancouver-ai-meetup-20-transcript.md,transcripts/2025/08-august/vancouver-ai-meetup-20-transcript.md,a432a1966df391007e5d1fb8cec4787a6f72e32c0f609f8f3be05f92a5f43060
transcript,2025,09-september,21,Vancouver AI Community Meetup #21 - Verbatim Transcript,vancouver-ai-meetup-21-transcript,2025/09-september/vancouver-ai-meetup-21-transcript.md,transcripts/2025/09-september/vancouver-ai-meetup-21-transcript.md,4a13dfe0f3eb720a4b077defc890ad158158bf92b6ddc7f843c695b3f4eda29f
transcript,2025,10-october,22,Vancouver AI Community Meetup #22 - Full Transcript,vancouver-ai-meetup-22-transcript,2025/10-october/vancouver-ai-meetup-22-transcript.md,transcripts/2025/10-october/vancouver-ai-meetup-22-transcript.md,b57d408834daa0ae78c47a6b2f19cebcd2ad5737f6deebc0f1acd5df0d71e284
transcript,2025,11-november,23,Vancouver AI Community Meetup #23 - Full Transcript,vancouver-ai-meetup-23-transcript,2025/11-november/vancouver-ai-meetup-23-transcript.md,transcripts/2025/11-november/vancouver-ai-meetup-23-transcript.md,cdc674f4c46131dc2d476f67e9d62d627df6212524a8fde32765df3d1a2b216c
transcript,2025,12-december,24,Vancouver AI Community Meetup #24 — Squatchie Awards 2025,VanAI-Meetup-24-Squatchie-Awards-Transcript,2025/12-december/VanAI-Meetup-24-Squatchie-Awards-Transcript.md,transcripts/2025/12-december/van-ai-meetup-24-squatchie-awards-transcript.md,3973076848a604af51af0d233d632f7dd4cb23a21a95253702051c587d76763c
transcript,2026,01-january,25,,vancouver-ai-meetup-25-transcript,2026/01-january/vancouver-ai-meetup-25-transcript.md,transcripts/2026/01-january/vancouver-ai-meetup-25-transcript.md,4653088826bc20fdddfc20325bdb77e77914d9b92f1b4f80193439eb9f7c1903
